feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Natronosalvus.amylolyticus	Group	Vespertilio murinus	-1.88002388907516	0.853213543620136	10	5	0.0586762403745107	0.199383668610019
Aegicerativicinus.sediminis	Group	Vespertilio murinus	-2.30932567004726	1.04828796334568	10	9	0.05872316444132	0.199439262982045
Clostridioides.sp..ES.S.0173.01	Group	Vespertilio murinus	-1.49897633510523	0.680590708934805	10	5	0.058767688696721	0.199536433405953
Pectinatus.frisingensis	Group	Vespertilio murinus	-3.2498616165898	1.47593338162799	10	9	0.0588191301712788	0.199657031190489
Butyricimonas.virosa	Group	Vespertilio murinus	-3.44560729350909	1.56532123551379	10	7	0.0588823140046787	0.19970947214281
Ruania.halotolerans	Group	Vespertilio murinus	-2.33939442270782	1.06281534779931	10	7	0.0588900717846624	0.19970947214281
Curtobacterium.sp..MCPF17.050	Group	Vespertilio murinus	-2.51241910263551	1.14146895548331	10	7	0.0588982875814746	0.19970947214281
Lacticaseibacillus.pantheris	Group	Vespertilio murinus	-3.04357444273393	1.38255588310765	10	6	0.0588641963651752	0.19970947214281
Microlunatus.sagamiharensis	Group	Vespertilio murinus	-3.55505286006579	1.61545050950969	10	9	0.0589334755622077	0.199720770290411
Oxalobacter.vibrioformis	Group	Vespertilio murinus	-2.11885106659161	0.962770013211574	10	6	0.0589216147946278	0.199720770290411
Adlercreutzia.hattorii	Group	Vespertilio murinus	-2.99721471169798	1.36207121821879	10	6	0.0589494805479965	0.199721031232458
Vibrio.metschnikovii	Group	Vespertilio murinus	-3.12425774920958	1.42016725015177	10	9	0.0590010469246476	0.199841741595936
Reichenbachiella.agarivorans	Group	Vespertilio murinus	-2.50349688970471	1.13838521876519	10	8	0.0590707766541385	0.199855864001629
Flavobacterium.sp..ZE23DGlu08	Group	Vespertilio murinus	-3.82889682152499	1.74112458609584	10	8	0.0590773037545785	0.199855864001629
Candidatus.Protofrankia.datiscae	Group	Vespertilio murinus	-2.68356353923637	1.22017632761544	10	9	0.0590560945860693	0.199855864001629
Peptoclostridium.acidaminophilum	Group	Vespertilio murinus	-3.88425821289573	1.76663256548472	10	7	0.0591155423405231	0.199855864001629
Radiobacillus.kanasensis	Group	Vespertilio murinus	-2.818236804313	1.28160497374278	10	8	0.0590868751564481	0.199855864001629
Hyphomicrobium.sp..DMF.1	Group	Vespertilio murinus	-2.68624613727902	1.22176199453255	10	9	0.0591167875892847	0.199855864001629
Thiomicrorhabdus.indica	Group	Vespertilio murinus	-3.14830045121211	1.43131818965227	10	7	0.0590324563283814	0.199855864001629
Lentibacillus.daqui	Group	Vespertilio murinus	-2.38079371635222	1.08300712939851	10	8	0.0591488745953381	0.199910441657936
Asaia.bogorensis	Group	Vespertilio murinus	-2.69082095578526	1.22429501007081	10	7	0.0591917116962024	0.200001313112014
Luteolibacter.luteus	Group	Vespertilio murinus	-2.05068837678832	0.93331881537829	10	7	0.0592520241697593	0.200097261261678
Vagococcus.carniphilus	Group	Vespertilio murinus	-2.4391969387057	1.1101340128562	10	9	0.0592511787716714	0.200097261261678
Olivibacter.sp..SDN3	Group	Vespertilio murinus	-2.80952568693982	1.27940173758684	10	8	0.0593659582940687	0.200212412869642
Bifidobacterium.sp..ESL0775	Group	Vespertilio murinus	-2.12254524492541	0.966417279596157	10	5	0.0593349784028922	0.200212412869642
Flaviflexus.ciconiae	Group	Vespertilio murinus	-1.60156040451941	0.729269535298309	10	5	0.0593523009292718	0.200212412869642
Streptomyces.marincola	Group	Vespertilio murinus	-2.64917194631866	1.2062356998989	10	9	0.05934166975487	0.200212412869642
Azospirillum.thiophilum	Group	Vespertilio murinus	-2.09926387922248	0.955890659519629	10	9	0.0593506331674701	0.200212412869642
Ereboglobus.luteus	Group	Vespertilio murinus	-1.90761902849482	0.868986355411086	10	9	0.0594349708060748	0.200377332057932
Corynebacterium.lizhenjunii	Group	Vespertilio murinus	-2.42116152714966	1.10307355835744	10	8	0.0594628002701622	0.200377332057932
Streptococcus.himalayensis	Group	Vespertilio murinus	-2.52460736395717	1.15012527862644	10	9	0.0594490219192083	0.200377332057932
Methanoplanus.limicola	Group	Vespertilio murinus	-3.55726732736065	1.62117993405373	10	8	0.0595256182361953	0.200535122800551
Helcobacillus.massiliensis	Group	Vespertilio murinus	-2.39367010311913	1.09118043650882	10	8	0.059580764465671	0.200551825876444
Streptomyces.sp..MST.110588	Group	Vespertilio murinus	-2.66456826936562	1.21507063500775	10	9	0.059647609876178	0.200551825876444
Blautia.hansenii	Group	Vespertilio murinus	-2.33168425524688	1.06287397843642	10	9	0.0595712670310029	0.200551825876444
Blautia.argi	Group	Vespertilio murinus	-2.1717580645713	0.99038153363744	10	8	0.0596553201539411	0.200551825876444
Exiguobacterium.mexicanum	Group	Vespertilio murinus	-2.23316048603573	1.01839875744968	10	7	0.059658530227222	0.200551825876444
Lactobacillus.gasseri	Group	Vespertilio murinus	-2.25525167180623	1.02830766245443	10	10	0.0596257218547663	0.200551825876444
Asticcacaulis.excentricus	Group	Vespertilio murinus	-2.57393913685593	1.17337995436748	10	8	0.0595845727797484	0.200551825876444
Methanocaldococcus.infernus	Group	Vespertilio murinus	-2.71301207163338	1.23719339106415	10	7	0.0596528658242125	0.200551825876444
Croceicoccus.sp..YJ47	Group	Vespertilio murinus	-4.02306200127079	1.83482246314571	10	8	0.0596770356611724	0.200560265386074
Paenibacillus.donghaensis	Group	Vespertilio murinus	-2.74318753363968	1.25132594530955	10	8	0.0597135109507288	0.200575331854055
Cupriavidus.gilardii	Group	Vespertilio murinus	-2.55103375006807	1.1636343064541	10	9	0.0597066315067223	0.200575331854055
Streptomyces.pristinaespiralis	Group	Vespertilio murinus	-2.69676231983623	1.23026901523863	10	9	0.059733470069132	0.200588639849182
Chitinolyticbacter.meiyuanensis	Group	Vespertilio murinus	-2.54270610797039	1.16013905628719	10	7	0.0597600179607153	0.200624060297031
