#Classification	D1	D2	D3	D4	D5	P1	P2	P3	P4	P5
Salinivirga cyanobacteriivorans	3	0	0	0	1	75	17	15	13	30
Paludibacter propionicigenes	5	2	0	0	8	60	244	12	187	63
Barnesiella viscericola	1	1	0	0	0	19	7	1	3	17
Coprobacter fastidiosus	1	1	0	0	1	32	1	1	12	34
Coprobacter secundus	6	4	0	1	30	67	3	5	7	50
uncultured Macellibacteroides sp.	4	0	0	1	4	64	4	2	7	67
Porphyromonas crevioricanis	0	0	0	0	1	9	0	3	3	14
Porphyromonas somerae	1	0	0	0	0	23	149	1	92	10
Porphyromonas endodontalis	1	1	0	0	3	11	0	3	1	5
Porphyromonas sp. oral taxon 275	2	8	1	0	7	31	399	2	171	97
Porphyromonas asaccharolytica	3	1	0	0	4	11	23	0	26	4
Porphyromonas gingivalis	3	1	1	0	5	34	9	4	9	29
Porphyromonas cangingivalis	4	0	0	0	4	11	0	2	2	7
Tenuifilum thalassicum	20	2	0	1	6	35	5	2	6	8
Odoribacter splanchnicus	2	1	0	0	3	22	2	1	7	44
Butyricimonas faecalis	1	3	1	0	0	17	10	2	4	24
Butyricimonas paravirosa	2	5	0	0	1	30	4	3	4	28
Butyricimonas faecihominis	3	2	0	0	6	7	11	1	4	17
Butyricimonas virosa	3	1	0	0	0	62	1	3	3	32
Duncaniella dubosii	0	1	0	1	3	14	4	4	1	8
Duncaniella sp. C9	1	0	0	0	0	0	0	0	0	0
Duncaniella freteri	1	0	0	0	0	0	0	0	0	0
Paramuribaculum intestinale	5	1	0	0	0	9	2	3	7	11
Muribaculum gordoncarteri	3	6	0	0	2	17	66	0	9	9
Muribaculum intestinale	8	116	2	0	490	802	119	1	4150	4076
Sodaliphilus pleomorphus	27	4	36	0	23	94	28	15	10	65
Tannerella forsythia	2	41	0	0	126	169	20	2	605	999
Tannerella serpentiformis	3	1	0	0	1	11	4	1	3	6
Parabacteroides sp. CT06	0	0	0	0	0	3	0	0	0	0
Parabacteroides merdae	2	2	1	0	11	55	13	4	10	33
Parabacteroides johnsonii	3	79	1	0	4	31	278	2	244	792
Parabacteroides chongii	4	2	0	0	2	58	6	3	4	44
Parabacteroides faecis	9	2	0	0	15	61	9	4	5	48
Parabacteroides distasonis	11	8	4	0	2	118	405	6	320	68
Parabacteroides goldsteinii	14	2	1	0	9	51	12	4	23	61
Petrimonas mucosa	1	1	1	0	1	24	3	19	4	30
Dysgonomonas sp. HDW5A	2	4	0	0	1	79	299	2	204	255
Dysgonomonas sp. HDW5B	11	2	21	0	11	54	9	5	12	288
Proteiniphilum saccharofermentans	5	3	0	0	4	41	1	2	3	28
Proteiniphilum propionicum	23	3	19	1	21	57	19	2	41	92
uncultured Acetobacteroides sp.	7	10	4	0	6	32	4	20	7	119
Alistipes sp. dk3624	0	0	0	0	0	24	0	3	6	8
Alistipes indistinctus	0	1	0	0	1	8	2	2	4	9
Alistipes dispar	2	0	0	1	3	30	2	4	5	26
uncultured Alistipes sp.	3	1	1	0	3	19	1	4	5	9
Alistipes shahii	3	0	0	0	0	29	4	9	7	13
Alistipes onderdonkii	3	3	0	0	69	106	10	6	180	151
Alistipes senegalensis	4	0	0	0	1	23	4	2	3	10
Alistipes ihumii	6	0	0	0	0	14	0	2	2	11
Alistipes finegoldii	9	0	0	0	4	16	4	0	4	26
Alistipes megaguti	13	0	18	0	12	25	2	0	7	26
Alistipes communis	40	0	32	0	17	26	2	4	6	18
Pseudoprevotella muciniphila	2	0	0	0	1	13	0	0	0	4
Paraprevotella xylaniphila	0	5	1	0	1	24	2	2	2	24
Paraprevotella clara	1	0	0	0	1	23	1	3	4	10
Hoylesella enoeca	1	1	0	0	0	7	8	1	0	24
Hoylesella buccalis	2	0	1	0	1	16	1	0	0	15
Xylanibacter ruminicola	8	4	2	0	5	97	528	4	19	39
Segatella bryantii	0	8	5	0	5	23	1	2	1	3
Segatella baroniae	1	0	0	0	1	6	5	1	4	4
Segatella oris	2	0	0	0	2	32	2	5	0	8
Segatella hominis	8	2	2	0	34	31	2	3	17	27
Segatella copri	19	20	1	0	10	206	14	22	26	74
Prevotella fusca	0	0	0	0	2	13	6	1	14	9
Prevotella denticola	0	0	0	1	3	31	7	3	9	32
Prevotella bivia	0	1	0	0	2	25	0	1	2	16
Prevotella communis	1	3	0	0	15	63	0	4	7	34
Prevotella multiformis	1	1	0	0	2	7	3	1	0	3
Prevotella herbatica	2	1	2	0	5	60	4	2	4	41
Prevotella corporis	2	4	2	0	2	28	1	4	5	18
Prevotella scopos	3	0	0	0	4	13	1	3	1	22
Prevotella histicola	3	2	0	0	2	35	0	2	3	15
Prevotella jejuni	5	3	0	0	2	46	5	2	2	26
Prevotella nigrescens	5	1	0	0	4	35	69	25	4	14
Prevotella veroralis	6	2	1	0	5	20	18	0	23	32
Prevotella dentalis	8	1	0	0	2	54	3	5	3	25
Prevotella melaninogenica	17	9	2	0	20	181	505	11	395	99
Prevotella intermedia	24	0	1	0	6	82	14	7	12	59
Prevotella sp. E2-28	1	1	5	0	2	18	0	1	2	3
Prevotella sp. E13-17	1	0	0	0	2	15	2	1	2	11
Prevotella sp. E9-3	3	0	1	0	1	48	1	2	9	26
Prevotella sp. Rep29	4	1	0	0	4	16	1	0	2	17
Prevotella sp. E15-22	6	3	0	0	3	19	2	1	0	8
Prevotella sp. oral taxon 299	10	1	1	0	12	33	7	4	14	35
Prevotella sp. oral taxon 475	12	10	3	0	5	15	17	0	46	34
Phocaeicola coprophilus	2	0	0	0	1	29	3	3	5	33
Phocaeicola dorei	3	2	0	0	7	86	7	7	11	56
Phocaeicola salanitronis	16	3	0	0	35	57	1	4	9	27
Phocaeicola vulgatus	29	4	1	0	5	70	2	5	6	34
Bacteroides sp.	0	0	0	0	0	0	0	0	1	0
Bacteroides humanifaecis	0	0	0	0	0	2	0	1	1	10
Bacteroides heparinolyticus	0	0	0	0	0	17	0	1	4	33
Bacteroides finegoldii	0	0	0	0	0	27	0	3	2	13
Bacteroides sp. HF-162	0	0	0	0	0	2	0	0	1	1
Bacteroides sp. ZJ-18	0	0	0	0	0	3	0	0	0	0
Bacteroides caecimuris	0	0	0	0	3	24	1	0	3	14
Bacteroides sp. D2	0	1	0	0	1	11	1	1	8	5
Bacteroides zhangwenhongii	1	2	0	0	0	14	1	0	1	16
Bacteroides eggerthii	1	0	0	0	2	44	4	5	6	30
Bacteroides zoogleoformans	1	0	0	0	0	13	2	4	8	27
Bacteroides intestinalis	2	1	0	0	3	39	5	4	5	37
Bacteroides faecium	3	3	0	0	0	156	225	8	119	59
Bacteroides graminisolvens	3	0	1	0	22	44	9	31	6	53
Bacteroides luhongzhouii	4	1	0	0	6	23	6	1	24	18
Bacteroides helcogenes	4	0	1	0	7	32	3	2	7	29
Bacteroides cellulosilyticus	4	2	0	0	7	74	302	2	300	32
Bacteroides coprosuis	5	3	1	0	4	45	17	7	12	90
Bacteroides sp. DH3716P	1	0	0	0	0	7	0	0	0	1
Bacteroides sp. M10	2	0	0	0	1	16	0	2	6	6
Bacteroides sp. CACC 737	2	1	0	0	0	0	0	0	0	5
Bacteroides sp. A1C1	2	1	0	0	0	4	0	0	0	4
Bacteroides xylanisolvens	8	0	0	0	5	48	7	8	15	42
Bacteroides salyersiae	8	3	0	1	11	107	25	11	18	167
Bacteroides stercoris	10	2	0	0	5	35	2	3	12	34
Bacteroides ovatus	10	5	1	0	102	59	12	10	7	26
Bacteroides caccae	13	2	2	0	22	33	6	7	8	43
Bacteroides uniformis	21	5	21	0	12	54	8	4	9	32
Bacteroides fragilis	22	6	2	0	40	171	17	20	38	115
Bacteroides nordii	24	4	1	0	34	95	254	13	18	67
Bacteroides thetaiotaomicron	29	6	2	0	14	157	114	29	102	134
Bacteroides faecis	32	5	16	0	3	55	4	2	8	49
uncultured Bacteroides sp.	78	33	3	1	69	506	478	82	444	502
Owenweeksia hongkongensis	1	1	0	0	4	23	0	4	4	17
Croceimicrobium hydrocarbonivorans	2	6	0	0	5	40	1	1	46	22
Ichthyobacterium seriolicida	3	2	0	0	1	41	2	3	2	14
Parvicella tangerina	8	1	4	0	7	53	280	4	226	23
Fluviicola taffensis	4	1	0	0	8	70	161	16	179	44
Paracrocinitomix mangrovi	28	0	0	0	32	81	29	14	10	46
Candidatus Walczuchella monophlebidarum	6	0	0	0	0	8	0	0	0	5
Candidatus Karelsulcia muelleri	64	7	1	0	68	433	214	55	154	206
Blattabacterium sp. (Periplaneta americana)	0	0	0	0	0	0	0	0	0	1
Blattabacterium sp. DPU	0	0	0	0	1	14	1	0	3	4
Blattabacterium sp. (Blatta orientalis)	0	0	0	0	1	3	0	0	0	1
Blattabacterium sp. (Cryptocercus punctulatus) str. Cpu	0	0	0	1	0	0	0	0	0	0
Blattabacterium clevelandi	1	1	0	0	0	0	1	0	0	2
Blattabacterium punctulatus	1	0	0	0	2	17	5	4	3	7
Blattabacterium sp. (Nauphoeta cinerea)	2	0	0	0	0	18	2	2	2	5
Blattabacterium sp. (Blaberus giganteus)	2	0	0	0	1	15	0	1	0	2
Blattabacterium sp. (Mastotermes darwiniensis)	2	0	0	0	1	24	4	2	2	12
Blattabacterium sp. (Cryptocercus kyebangensis)	4	0	0	0	0	6	1	0	0	13
Blattabacterium sp. (Blattella germanica)	15	2	1	0	1	6	1	0	2	6
Blattabacterium cuenoti	339	46	8	1	171	1012	4175	224	3853	578
Marnyiella aurantia	2	1	0	0	1	21	2	3	0	10
Cruoricaptor ignavus	3	1	0	0	2	5	1	1	10	23
Bergeyella cardium	4	1	0	0	0	35	4	2	7	10
Weeksella virosa	4	2	1	0	1	20	4	5	8	30
Ornithobacterium rhinotracheale	2	4	0	0	9	101	424	15	556	47
Candidatus Ornithobacterium hominis	19	2	1	0	6	30	1	2	3	12
Empedobacter stercoris	3	0	2	0	18	28	4	6	3	14
Empedobacter falsenii	5	2	2	0	281	74	203	4	148	46
Empedobacter brevis	18	4	0	17	258	84	21	54	20	43
Cloacibacterium sp. TD35	6	2	0	0	2	38	3	0	2	25
Cloacibacterium normanense	7	3	0	0	7	32	20	3	10	26
Cloacibacterium caeni	22	14	1	1	22	44	9	6	21	49
Apibacter sp. ESL0432	0	0	0	0	2	11	2	1	4	2
Apibacter sp. B2966	1	1	0	0	1	30	264	2	192	7
Apibacter sp. ESL0404	3	0	0	0	0	22	4	0	1	10
Apibacter sp. B3706	5	4	0	0	1	23	12	3	4	22
Apibacter raozihei	26	4	1	1	18	194	117	11	52	146
Faecalibacter bovis	19	1	0	0	11	189	733	18	678	93
Faecalibacter sp. LW9	28	32	4	1	24	115	384	7	360	54
Riemerella columbina	8	0	5	0	2	47	3	14	3	20
Riemerella anatipestifer	50	9	13	0	44	188	499	44	345	111
Elizabethkingia sp. 2-6	0	0	0	0	0	4	0	0	1	1
Elizabethkingia ursingii	0	1	0	0	2	45	7	1	8	32
Elizabethkingia miricola	3	1	0	0	3	38	3	4	6	16
Elizabethkingia bruuniana	10	1	0	0	8	39	8	3	11	33
Elizabethkingia sp. M8	3	0	0	0	0	8	54	0	127	3
Elizabethkingia sp. JS20170427COW	9	3	0	0	13	67	184	16	156	20
Elizabethkingia meningoseptica	14	1	0	0	15	105	18	5	15	113
Elizabethkingia anophelis	56	13	1	1	37	194	789	48	849	113
Epilithonimonas vandammei	3	2	0	1	109	78	7	5	4	61
Epilithonimonas zeae	6	6	3	0	35	80	4	3	10	53
Kaistella daneshvariae	0	2	1	0	5	20	3	1	11	30
Kaistella antarctica	1	1	4	0	3	42	60	5	73	16
Candidatus Kaistella beijingensis	3	1	1	0	3	36	57	1	37	26
Kaistella jeonii	3	2	0	0	3	49	3	5	14	38
Kaistella flava (ex Peng et al. 2021)	4	1	1	1	8	101	250	5	202	36
Kaistella carnis	4	4	1	0	8	56	360	4	327	21
Kaistella polysaccharea	12	1	0	1	9	23	7	5	1	18
Kaistella sp. 97-N-M2	20	3	0	0	0	28	4	4	6	27
Chryseobacterium taihuense	0	0	0	0	3	0	0	0	0	1
Chryseobacterium sp. FDAARGOS 1104	0	0	0	0	1	0	0	0	0	0
Chryseobacterium sp. SG20098	0	1	0	0	5	88	279	2	251	102
Chryseobacterium sp. JV274	0	2	0	1	4	30	1	2	6	34
Chryseobacterium faecale	1	3	0	0	40	40	78	0	88	34
Chryseobacterium bernardetii	2	11	0	0	1	59	345	2	325	46
Chryseobacterium shandongense	2	3	1	0	36	212	245	28	157	159
Chryseobacterium taklimakanense	2	1	1	0	10	114	8	15	8	54
Chryseobacterium daecheongense	3	9	1	0	8	246	9	6	40	319
Chryseobacterium nakagawai	3	3	0	0	10	103	2	5	17	93
Chryseobacterium lactis	4	3	0	0	5	207	10	8	33	234
Chryseobacterium aureum	4	0	0	0	10	119	5	1	17	167
Chryseobacterium rhizoplanae	5	0	1	0	1	69	0	1	8	68
Chryseobacterium piperi	5	1	1	0	9	227	12	4	41	261
Chryseobacterium nepalense	5	1	0	0	5	37	3	0	12	42
Chryseobacterium joostei	5	4	0	0	5	137	5	5	15	131
Chryseobacterium cucumeris	5	1	1	0	1	95	192	4	148	81
Chryseobacterium salivictor	6	0	1	0	6	32	3	11	4	21
Chryseobacterium manosquense	6	1	0	0	9	49	1	4	6	39
Chryseobacterium panacisoli	8	1	2	0	16	39	6	3	8	43
Chryseobacterium camelliae	9	2	5	1	53	432	32	31	254	522
Chryseobacterium turcicum	9	1	1	0	5	82	6	5	12	73
Chryseobacterium suipulveris	9	16	3	0	90	198	312	1	658	660
Chryseobacterium gallinarum	11	1	0	0	24	228	17	24	23	297
Chryseobacterium carnipullorum	12	3	0	0	14	163	5	1	34	214
Chryseobacterium capnotolerans	12	4	0	0	10	176	303	19	72	177
Chryseobacterium paludis	13	2	0	0	22	203	20	26	36	251
Chryseobacterium balustinum	15	5	2	0	17	122	15	9	24	121
Chryseobacterium oranimense	16	2	0	0	18	186	2	3	26	208
Chryseobacterium arthrosphaerae	19	4	2	0	14	302	233	34	192	301
Chryseobacterium gambrini	27	4	2	0	37	190	20	10	35	184
Chryseobacterium indoltheticum	27	5	0	0	23	196	11	27	25	177
Chryseobacterium glaciei	28	11	0	0	35	130	8	3	23	142
Chryseobacterium gleum	36	3	1	0	8	157	11	6	27	157
Chryseobacterium indologenes	42	16	4	1	34	662	290	66	324	729
Chryseobacterium oryzae	99	3	0	0	30	123	8	15	22	144
Chryseobacterium sp. WX	1	0	0	0	0	20	2	3	3	11
Chryseobacterium sp. 6424	1	0	8	0	2	24	0	4	4	30
Chryseobacterium sp. D764	1	0	0	0	1	13	1	1	2	15
Chryseobacterium sp. MEBOG07	1	3	1	0	6	154	26	10	37	227
Chryseobacterium sp. G0186	2	3	2	0	2	134	5	2	27	179
Chryseobacterium sp. SNU WT5	2	5	0	0	6	115	791	4	807	55
Chryseobacterium sp. LJ668	2	1	0	0	11	82	11	3	26	119
Chryseobacterium sp. JJR-5R	2	1	0	0	7	175	4	6	17	188
Chryseobacterium sp. Y16C	2	1	1	1	20	153	56	29	54	183
Chryseobacterium sp. PCH239	2	2	0	0	1	31	246	0	196	22
Chryseobacterium sp. POL2	3	2	0	0	8	48	4	2	10	44
Chryseobacterium sp. G0201	3	3	1	0	15	208	27	9	46	181
Chryseobacterium sp. IHB B 17019	5	5	0	0	10	211	7	12	31	211
Chryseobacterium sp. MA9	5	1	0	0	3	93	10	0	17	95
Chryseobacterium sp. 3008163	5	0	1	0	4	128	495	3	465	115
Chryseobacterium sp. wdc7	5	0	0	0	2	45	2	2	6	39
Chryseobacterium sp. PET-29	6	2	0	0	2	62	9	30	8	66
Chryseobacterium sp. G0162	9	2	0	0	8	81	189	6	127	79
Chryseobacterium sp. ZHDP1	10	4	2	0	14	133	5	3	13	95
Chryseobacterium sp. T16E-39	10	4	0	0	10	214	11	10	31	212
Chryseobacterium sp. MMS21-Ot14	12	2	1	0	20	279	465	29	406	265
Chryseobacterium sp. StRB126	18	3	2	0	13	119	9	10	18	154
Chryseobacterium sp. MEBOG06	19	2	1	2	14	146	5	6	27	163
Chryseobacterium sp. CY350	22	2	2	1	8	160	29	7	29	137
Chryseobacterium sp.	32	7	2	0	75	180	10	7	26	214
Gilvibacter sp. SZ-19	0	0	0	0	1	10	4	1	3	23
Siansivirga zeaxanthinifaciens	1	0	1	0	1	54	9	12	30	47
Rasiella rasia	2	1	1	0	6	15	4	7	7	13
Gillisia sp. Hel1 33 143	2	1	0	0	3	53	7	20	10	39
Salinimicrobium tongyeongense	2	28	4	0	9	30	1	4	1	19
Constantimarinum furrinae	2	1	0	0	6	24	4	2	2	25
Muriicola soli	2	3	0	0	3	43	4	3	12	25
Pukyongia salina	2	1	0	0	1	16	0	3	3	11
Mangrovimonas sp. YM274	2	0	0	1	8	55	2	2	6	32
Euzebyella marina	2	1	0	0	3	32	6	10	4	25
Oceanihabitans sp. IOP 32	2	3	0	0	3	43	4	1	11	17
Robiginitalea biformata	3	2	0	0	1	30	266	0	170	18
Candidatus Arcticimaribacter forsetii	3	3	0	0	3	26	9	4	3	14
Leeuwenhoekiella sp. ZYFB001	0	1	0	0	1	28	3	8	1	6
Leeuwenhoekiella palythoae	1	0	2	0	2	13	3	1	0	14
Bizionia sp. M204	4	9	2	0	4	35	272	5	199	40
Costertonia aggregata	4	2	1	0	2	40	0	4	4	11
Hwangdonia sp. SCSIO 19198	4	1	1	0	9	64	2	18	3	25
Sinomicrobium kalidii	4	4	3	0	49	61	3	4	13	31
Aggregatimonas sangjinii	5	7	0	0	4	38	2	5	12	21
Arenibacter algicola	6	0	0	0	4	60	12	12	7	41
Mariniflexile sp. TRM1-10	6	5	0	0	18	59	12	10	9	34
Flagellimonas sp. CMM7	3	1	1	0	4	46	7	14	9	16
Flagellimonas sp. HMM57	4	4	1	0	7	59	1	2	5	22
Aegicerativicinus sediminis	7	2	1	0	9	63	10	7	14	45
Olleya sp. Bg11-27	2	0	0	0	3	43	172	9	153	25
Olleya sp. YS	3	0	1	0	9	58	22	10	5	46
Olleya sp. HaHaR 3 96	3	0	1	0	5	22	6	3	2	23
Croceibacter atlanticus	9	3	0	0	5	41	3	3	9	23
Antarcticibacterium sp. 1MA-6-2	1	4	0	0	6	40	5	1	17	22
Antarcticibacterium arcticum	4	4	0	0	3	48	2	0	4	19
Antarcticibacterium flavum	4	1	0	0	5	44	2	20	6	15
Changchengzhania lutea	9	6	0	0	21	42	6	20	10	26
Lutimonas sp. YSD2104	9	1	0	1	3	43	7	34	17	13
Galbibacter sp. BG1	10	0	1	0	4	42	21	2	6	45
Marixanthomonas sp. SCSIO 43207	10	5	0	0	70	57	15	4	40	50
Wenyingzhuangia fucanilytica	10	3	3	0	5	71	14	6	11	36
Mesoflavibacter profundi	0	1	0	0	0	7	0	0	3	2
Mesoflavibacter sp. SCSIO 43206	4	3	0	0	6	55	251	0	589	36
Seonamhaeicola sp. S2-3	5	3	0	0	5	64	21	6	13	43
Seonamhaeicola sp. ML3	7	0	2	0	27	38	26	6	14	101
Zhouia spongiae	13	4	0	0	10	56	4	7	8	42
Sediminicola sp. YIK13	13	1	0	0	13	24	21	2	27	10
Flaviramulus sp. BrNp1-15	13	0	0	0	14	108	615	16	563	48
Zobellia laminariae	3	2	0	0	6	36	6	7	3	23
Zobellia galactanivorans	3	2	1	1	7	95	6	11	3	49
Zobellia alginiliquefaciens	7	10	1	0	4	39	5	4	17	27
Amniculibacterium sp. G2-70	15	0	0	0	0	54	27	2	27	47
Imtechella halotolerans	15	1	0	0	12	35	6	13	4	32
Pseudalgibacter alginicilyticus	16	5	1	0	5	95	11	9	19	50
Aequorivita sublithincola	4	2	0	0	2	47	284	3	183	38
Aequorivita sp. H23M31	3	0	1	0	5	69	4	5	2	35
Aequorivita sp. Ant34-E75	4	0	1	0	3	47	15	1	9	24
Salegentibacter sp. T436	2	23	0	0	43	107	18	4	130	388
Salegentibacter mishustinae	3	1	0	0	3	30	3	0	7	22
Salegentibacter salegens	10	0	0	0	11	42	206	11	138	35
Aestuariibaculum lutulentum	6	0	0	0	3	79	253	5	273	28
Aestuariibaculum sp. YM273	13	1	1	0	2	50	145	3	99	30
Allomuricauda aquimarina	0	0	0	0	1	65	678	1	663	10
Allomuricauda ruestringensis	0	0	1	0	3	21	0	2	4	15
Allomuricauda oceani	0	1	1	1	2	36	6	6	9	30
uncultured Allomuricauda sp.	1	2	0	0	2	27	2	3	3	12
Allomuricauda lutaonensis	2	2	0	0	2	17	343	1	11	12
Allomuricauda aurantiaca	4	3	0	0	5	26	4	11	9	13
Allomuricauda sp.	1	1	0	0	4	47	185	4	76	23
Muricauda sp. SCSIO 65647	4	0	0	0	1	17	2	2	4	17
Muricauda sp. SCSIO 64092	6	4	3	0	7	31	5	2	34	31
Abyssalbus ytuae	20	1	1	0	9	58	13	14	13	29
Flavivirga eckloniae	22	4	2	0	33	96	307	8	523	42
Dokdonia sp. MED134	0	0	0	0	1	20	0	2	2	3
Dokdonia donghaensis	0	1	0	0	1	8	1	2	4	14
Dokdonia sp. Dokd-P16	6	0	0	0	8	33	4	1	0	20
Dokdonia sp. 4H-3-7-5	6	1	1	0	3	18	0	1	3	10
Dokdonia sp. PRO95	8	0	0	0	12	48	219	4	179	11
Kordia antarctica	11	1	0	0	8	89	5	4	12	37
Kordia sp. SMS9	14	8	0	0	6	57	3	20	8	28
Paenimyroides aestuarii	3	4	0	0	10	24	1	2	8	13
Paenimyroides cloacae	22	8	1	1	26	36	12	6	7	34
Tamlana carrageenivorans	4	5	0	0	1	59	690	2	370	19
Tamlana sp. s12	22	1	1	2	12	57	221	15	182	25
Zunongwangia sp. HRR-M8	3	0	0	1	4	21	1	1	3	8
Zunongwangia sp. HGR-M22	3	0	0	0	5	22	5	8	10	27
Zunongwangia sp. SCSIO 43204	5	2	0	0	13	42	0	1	11	23
Zunongwangia profunda	21	3	1	0	19	49	8	5	11	20
Urechidicola croceus	32	9	3	0	37	531	492	47	341	269
Psychroflexus sp. ALD RP9	13	3	0	0	12	76	595	5	555	36
Psychroflexus torquis	19	3	0	0	16	111	127	8	121	63
Aureibaculum algae	33	8	2	0	31	145	13	12	16	52
Gramella oceanisediminis	1	0	0	0	0	12	3	3	5	5
Christiangramia salexigens	2	2	0	0	4	25	13	6	4	33
Christiangramia flava	3	3	0	0	11	38	275	3	12	29
Christiangramia forsetii	3	1	1	0	0	50	5	2	7	17
Christiangramia fulva	4	2	0	0	4	32	4	2	5	23
Christiangramia sp. OXR-203	1	10	0	0	10	55	1680	1	65	47
Gramella sp. MT6	3	1	0	0	3	39	73	1	53	34
Gramella sp. MAR 2010 147	4	0	2	0	2	45	12	2	8	25
Christiangramia echinicola	15	4	22	0	17	41	220	11	184	81
Nonlabens spongiae	0	3	0	0	1	21	0	3	3	14
Nonlabens ulvanivorans	2	2	0	0	2	94	872	3	872	30
Nonlabens ponticola	4	1	0	0	3	22	0	1	1	18
Nonlabens tegetincola	6	1	0	0	9	7	0	0	2	1
Nonlabens marinus	9	1	0	0	1	8	0	0	2	10
Nonlabens dokdonensis	11	2	12	1	4	34	37	4	5	46
Nonlabens sp. SY33080	1	1	0	0	3	9	0	2	0	6
Nonlabens sp. MIC269	1	0	0	0	0	7	1	1	1	6
Nonlabens sp. Ci31	3	4	1	0	4	41	115	10	84	7
Nonlabens sp. Hel1 33 55	4	0	0	0	0	24	1	1	1	20
Nonlabens sp. MB-3u-79	10	0	0	0	7	22	3	5	1	16
Algibacter luteus	5	0	0	0	3	48	8	6	16	37
Algibacter sp. L3A6	17	3	2	0	25	81	20	14	36	54
Algibacter sp. L1A34	29	10	2	0	15	117	9	51	22	42
Maribacter litopenaei	1	0	0	0	2	46	9	3	4	15
Maribacter dokdonensis	4	3	0	1	8	27	5	0	6	28
Maribacter aestuarii	6	0	0	0	3	24	0	4	3	17
Maribacter hydrothermalis	11	9	1	0	23	69	21	4	19	158
Maribacter cobaltidurans	19	4	0	0	5	35	174	2	134	5
Maribacter sp. MJ134	2	4	0	0	6	29	31	4	5	94
Maribacter sp. 1 2014MBL MicDiv	3	3	0	0	2	28	4	5	3	14
Maribacter sp. Hal144	7	0	2	0	6	13	1	1	3	15
Maribacter sp. HTCC2170	19	5	2	0	22	55	6	4	5	15
Myroides sp. ZB35	0	0	0	0	0	8	0	0	12	4
Myroides fluvii	3	2	0	0	7	38	4	7	12	19
Myroides phaeus	5	3	0	0	10	52	128	9	122	50
Myroides profundi	5	3	0	0	8	51	55	6	55	31
Myroides odoratimimus	6	0	0	0	4	42	129	7	164	20
Myroides sp. A21	3	1	0	0	4	34	0	6	3	10
Myroides sp. mNGS23 01	4	1	0	0	3	40	75	4	3	26
Myroides albus	15	6	0	1	26	58	16	8	5	39
Myroides odoratus	22	0	0	0	5	38	14	7	19	26
Lacinutrix venerupis	3	6	0	0	9	59	18	33	8	35
Lacinutrix neustonica	7	1	1	0	6	76	206	6	174	41
Lacinutrix sp. 5H-3-7-4	19	4	0	1	23	141	348	10	270	68
Lacinutrix sp. Bg11-31	20	1	1	0	27	52	7	34	47	41
Lacinutrix sp. WUR7	34	8	4	0	30	601	10	34	10	207
Formosa sp. Hel1 33 131	0	5	1	0	5	50	7	2	5	30
Formosa sediminum	15	0	0	0	7	80	184	16	158	64
Formosa agariphila	31	1	0	2	26	75	8	8	15	46
Formosa sp. Hel3 A1 48	1	3	0	0	4	27	4	1	1	9
Formosa sp. L2A11	7	4	0	0	38	103	21	16	10	49
Formosa sp. Hel1 31 208	31	1	0	0	5	36	7	2	10	22
Lutibacter sp. A80	13	6	1	0	16	109	367	5	310	36
Lutibacter sp. A64	27	8	1	2	40	148	998	12	981	63
Lutibacter profundi	55	15	0	0	43	101	148	31	186	49
Psychroserpens ponticola	18	15	0	0	2	92	232	47	382	56
Psychroserpens sp. NJDZ02	79	2	0	0	5	41	27	15	2	21
Aquimarina sp. ERC-38	3	2	0	0	5	114	17	73	12	40
Aquimarina sp. TRL1	3	3	0	0	7	131	803	25	619	44
Aquimarina sp. AD1	8	1	1	0	4	26	21	4	12	29
Aquimarina sp. Aq107	20	11	1	0	25	135	15	28	9	56
Aquimarina sp. BL5	26	4	4	0	5	143	255	9	232	32
Aquimarina sp. AD10	38	3	2	0	19	105	323	22	243	39
Capnocytophaga sp. oral taxon 323	0	0	0	0	0	4	0	0	0	8
Capnocytophaga sp. oral taxon 902	0	0	0	0	0	12	0	2	0	2
Capnocytophaga sp. oral taxon 864	0	0	0	0	1	7	0	0	0	2
Capnocytophaga leadbetteri	1	0	0	0	1	14	1	0	2	10
Capnocytophaga endodontalis	2	1	0	0	4	30	215	1	168	11
Capnocytophaga stomatis	3	0	0	0	6	35	1	6	8	13
Capnocytophaga haemolytica	3	0	1	0	17	40	4	10	7	18
Capnocytophaga ochracea	3	1	1	0	8	36	8	4	13	19
Capnocytophaga sputigena	4	2	0	0	4	54	8	7	11	16
Capnocytophaga cynodegmi	6	4	0	0	9	56	253	7	212	27
Capnocytophaga gingivalis	9	1	0	0	7	72	6	4	3	30
Capnocytophaga canimorsus	17	0	0	0	6	67	7	5	12	43
Capnocytophaga sp. H4358	1	1	0	0	1	4	1	0	0	4
Capnocytophaga sp. FDAARGOS 737	2	2	2	0	2	15	0	1	1	8
Capnocytophaga sp. H2931	11	0	0	0	11	6	0	0	1	3
Capnocytophaga sp. oral taxon 878	32	3	1	0	2	69	637	1	690	10
Cellulophaga sp. HaHa 2 1	0	0	0	0	4	9	1	0	2	5
Cellulophaga omnivescoria	5	0	0	0	9	38	8	2	12	29
Cellulophaga lytica	6	4	3	0	3	112	753	9	586	25
Cellulophaga baltica	10	4	0	0	7	51	18	5	10	56
Cellulophaga algicola	19	4	0	0	17	60	11	9	11	34
Cellulophaga sp. HaHa 2 95	2	1	0	0	0	2	0	0	2	13
Cellulophaga sp. HaHaR 3 176	21	3	0	0	7	76	185	28	202	42
