#Classification	D1	D2	D3	D4	D5	P1	P2	P3	P4	P5
Bdellovibrio sp. NC01	0	0	0	0	3	7	0	1	2	1
Bdellovibrio reynosensis	4	0	0	0	0	33	0	1	2	13
Bdellovibrio sp. ZAP7	3	0	1	0	6	14	2	2	10	5
Bdellovibrio sp. 22V	4	1	0	0	2	13	0	1	1	4
Bdellovibrio sp. SKB1291214	7	1	0	0	5	14	2	1	1	8
Bdellovibrio sp. KM01	14	0	0	0	13	16	0	1	6	12
Bdellovibrio bacteriovorus	28	17	6	4	54	151	340	5	346	198
Halobacteriovorax marinus	3	8	1	0	10	44	11	6	13	24
Halobacteriovorax sp. BALOs 7	13	12	0	0	16	34	4	4	4	13
Peredibacter starrii	8	5	0	0	5	36	2	3	11	42
Bacteriovorax stolpii	174	1	0	0	3	34	7	3	6	11
Athalassotoga saccharophila	2	4	0	0	2	8	3	7	1	4
Kosmotoga olearia	0	0	0	0	0	9	0	0	0	1
Kosmotoga pacifica	0	3	1	1	17	20	2	1	1	14
Mesotoga infera	1	0	1	0	6	17	5	2	2	14
Mesotoga prima	4	0	3	0	1	10	1	0	2	8
Thermotoga neapolitana	0	0	0	0	0	0	0	0	1	0
Thermotoga sp. RQ7	0	0	0	0	0	0	1	0	0	0
Thermotoga sp. Cell2	0	0	0	0	2	0	0	0	0	0
Thermotoga caldifontis	0	0	0	0	4	5	0	0	0	5
Thermotoga sp. 2812B	0	1	0	0	1	2	0	0	0	3
Thermotoga profunda	1	0	0	0	2	19	2	1	0	6
Thermotoga petrophila	1	0	0	0	1	1	0	0	0	1
Pseudothermotoga lettingae	0	0	0	0	0	0	1	0	0	0
Pseudothermotoga elfii	0	0	0	0	1	11	0	0	1	4
Pseudothermotoga hypogea	0	0	0	0	2	9	0	3	0	10
Pseudothermotoga thermarum	8	0	0	0	2	12	7	10	0	15
Fervidobacterium changbaicum	0	0	0	0	0	2	0	0	2	3
Fervidobacterium islandicum	0	0	0	0	0	5	0	0	1	4
Fervidobacterium nodosum	9	0	0	0	4	37	9	35	8	5
Fervidobacterium pennivorans	20	1	0	1	9	33	35	42	1	101
Thermosipho sp. 1063	0	0	0	0	0	5	2	7	0	1
Thermosipho sp. 1070	0	1	0	0	0	0	5	0	1	0
Thermosipho africanus	9	2	0	0	9	33	15	4	10	51
Thermosipho melanesiensis	26	1	0	0	22	36	6	5	12	13
Thermosipho ferrireducens	27	2	0	0	27	68	487	1	386	58
Petrotoga mobilis	6	3	6	0	9	44	142	4	29	62
