feature	Coprothermobacteraceae	Nitrospinaceae	Chrysiogenaceae	Calditrichaceae	Caldisericaceae	Atribacteraceae	Thermodesulfobiaceae	Elusimicrobiaceae	Endomicrobiaceae	Dictyoglomaceae	Microvenatoraceae	Bradymonadaceae	Thermovirgaceae	Acetomicrobiaceae	Dethiosulfovibrionaceae	Aminobacteriaceae	Aminithiophilaceae	Synergistaceae	Thermodesulfovibrionaceae	Dissulfurispiraceae	Nitrospiraceae	Candidatus.Chazhemtobacteraceae	Candidatus.Absconditicoccaceae	Candidatus.Saccharimonadaceae	Candidatus.Nanosynbacteraceae	Candidatus.Babeliaceae	Candidatus.Chromulinivoraceae	Desulfurobacteriaceae	Aquificaceae	Hydrogenothermaceae	Geovibrionaceae	Flexistipitaceae	Calditerrivibrionaceae	Deferribacteraceae	Mucispirillaceae	Silvanigrellaceae	Pseudobdellovibrionaceae	Halobacteriovoraceae	Bacteriovoracaceae	Mesoaciditogaceae	Kosmotogaceae	Thermotogaceae	Fervidobacteriaceae	Petrotogaceae	Vicinamibacteraceae	Thermotomaculaceae	Acanthopleuribacteraceae	Holophagaceae	Bryobacteraceae	Acidobacteriaceae	Syntrophaceae	Desulfomonilaceae	Candidatus.Desulfofervidaceae	Syntrophobacteraceae	Desulfobaccaceae	Thermodesulfatatoraceae	Thermodesulfobacteriaceae	Desulfarculaceae	Desulfocapsaceae	Desulfobulbaceae	Desulfolunaceae	Desulfosudaceae	Desulfatibacillaceae	Desulfococcaceae	Desulfosarcinaceae	Desulfobacteraceae	Syntrophotaleaceae	Geoalkalibacteraceae	Geopsychrobacteraceae	Desulfuromonadaceae	Geobacteraceae	Desulfomicrobiaceae	Desulfohalobiaceae	Desulfovibrionaceae	Thermospiraceae	Leptospiraceae	Brachyspiraceae	Breznakiellaceae	Sphaerochaetaceae	Spirochaetaceae	Borreliaceae	Treponemataceae	Kofleriaceae	Nannocystaceae	Labilitrichaceae	Sandaracinaceae	Polyangiaceae	Vulgatibacteraceae	Anaeromyxobacteraceae	Archangiaceae	Myxococcaceae	Haliovirgaceae	Leptotrichiaceae	Fusobacteriaceae	Hippeaceae	Nitratiruptoraceae	Nautiliaceae	Hydrogenimonadaceae	Sulfurovaceae	Sulfurospirillaceae	Sulfurimonadaceae	Helicobacteraceae	Campylobacteraceae	Arcobacteraceae	Lentisphaeraceae	Tichowtungiaceae	Kiritimatiellaceae	Methylacidiphilaceae	Cerasicoccaceae	Coraliomargaritaceae	Puniceicoccaceae	Opitutaceae	Fontisphaeraceae	Akkermansiaceae	Verrucomicrobiaceae	Candidatus.Brocadiaceae	Tepidisphaeraceae	Sedimentisphaeraceae	Anaerohalosphaeraceae	Phycisphaeraceae	Candidatus.Uabimicrobiaceae	Isosphaeraceae	Gemmataceae	Thermoguttaceae	Lacipirellulaceae	Pirellulaceae	Planctomycetaceae	Criblamydiaceae	Waddliaceae	Simkaniaceae	Rhabdochlamydiaceae	Parachlamydiaceae	Candidatus.Clavichlamydiaceae	Chlamydiaceae	Fibrobacteraceae	Candidatus.Cloacimonadaceae	Gemmatimonadaceae	Cyclonatronaceae	Rhodothermaceae	Salinibacteraceae	Melioribacteraceae	Ignavibacteriaceae	Chloroherpetonaceae	Chlorobiaceae	Haliscomenobacteraceae	Saprospiraceae	Chitinophagaceae	Aurantibacillaceae	Sphingobacteriaceae	Microscillaceae	Reichenbachiellaceae	Mangrovivirgaceae	Roseivirgaceae	Catalimonadaceae	Fulvivirgaceae	Bernardetiaceae	Marivirgaceae	Amoebophilaceae	Flammeovirgaceae	Cytophagaceae	Cyclobacteriaceae	Spirosomataceae	Hymenobacteraceae	Marinilabiliaceae	Marinifilaceae	Prolixibacteraceae	Salinivirgaceae	Paludibacteraceae	Barnesiellaceae	Porphyromonadaceae	Tenuifilaceae	Odoribacteraceae	Muribaculaceae	Tannerellaceae	Dysgonomonadaceae	Rikenellaceae	Prevotellaceae	Bacteroidaceae	Owenweeksiaceae	Ichthyobacteriaceae	Parvicellaceae	Crocinitomicaceae	Blattabacteriaceae	Weeksellaceae	Flavobacteriaceae	Vulcanimicrobiaceae	Chthonomonadaceae	Fimbriimonadaceae	Capsulimonadaceae	Thermomicrobiaceae	Sphaerobacteraceae	Phototrophicaceae	Ktedonosporobacteraceae	Anaerolineaceae	Caldilineaceae	Candidatus.Promineifilaceae	Tepidiformaceae	Thermoflexaceae	Roseiflexaceae	Chloroflexaceae	Dehalococcoidaceae	Trueperaceae	Thermaceae	Deinococcaceae	Coleofasciculaceae	Gloeomargaritaceae	Oculatellaceae	Thermostichaceae	Gomontiellaceae	Chamaesiphonaceae	Nodosilineaceae	Geitlerinemataceae	Chroococcidiopsidaceae	Anthocerotibacteraceae	Gloeobacteraceae	Thermosynechococcaceae	Acaryochloridaceae	Trichocoleusaceae	Leptolyngbyaceae	Pseudanabaenaceae	Dermocarpellaceae	Hyellaceae	Sirenicapillariaceae	Microcoleaceae	Oscillatoriaceae	Halothecacae	Chroococcaceae	Microcystaceae	Geminocystaceae	Aphanothecaceae	Scytonemataceae	Rivulariaceae	Tolypothrichaceae	Calotrichaceae	Hapalosiphonaceae	Aphanizomenonaceae	Nostocaceae	Merismopediaceae	Synechococcaceae	Prochlorococcaceae	Candidatus.Izemoplasmataceae	Hujiaoplasmataceae	Acholeplasmataceae	Mycoplasmataceae	Entomoplasmataceae	Spiroplasmataceae	Metamycoplasmataceae	Mycoplasmoidaceae	Egicoccaceae	Euzebyaceae	Egibacteraceae	Rubrobacteraceae	Ilumatobacteraceae	Acidimicrobiaceae	Iamiaceae	Coriobacteriaceae	Atopobiaceae	Eggerthellaceae	Thermoleophilaceae	Miltoncostaeaceae	Paraconexibacteraceae	Capillimicrobiaceae	Baekduiaceae	Conexibacteraceae	Acidothermaceae	Sporichthyaceae	Actinopolysporaceae	Glycomycetaceae	Candidatus.Nanopelagicaceae	Kineosporiaceae	Jatrophihabitantaceae	Catenulisporaceae	Nakamurellaceae	Jiangellaceae	Bifidobacteriaceae	Geodermatophilaceae	Frankiaceae	Actinomycetaceae	Streptosporangiaceae	Thermomonosporaceae	Nocardiopsaceae	Actinopolymorphaceae	Kribbellaceae	Propionibacteriaceae	Nocardioidaceae	Pseudonocardiaceae	Micromonosporaceae	Jonesiaceae	Tropherymataceae	Dermatophilaceae	Beutenbergiaceae	Demequinaceae	Sanguibacteraceae	Kytococcaceae	Ruaniaceae	Dermacoccaceae	Bogoriellaceae	Intrasporangiaceae	Promicromonosporaceae	Ornithinimicrobiaceae	Cellulomonadaceae	Dermabacteraceae	Brevibacteriaceae	Micrococcaceae	Microbacteriaceae	Carbonactinosporaceae	Streptomycetaceae	Lawsonellaceae	Hoyosellaceae	Segniliparaceae	Tsukamurellaceae	Dietziaceae	Gordoniaceae	Nocardiaceae	Corynebacteriaceae	Mycobacteriaceae	Limnochordaceae	Dethiobacteraceae	Acidaminococcaceae	Veillonellaceae	Sporomusaceae	Selenomonadaceae	Turicibacteraceae	Erysipelotrichaceae	Coprobacillaceae	Gottschalkiaceae	Acidilutibacteraceae	Thermohalobacteraceae	Tepidimicrobiaceae	Tissierellaceae	Peptoniphilaceae	Koleobacteraceae	Thermosediminibacteraceae	Tepidanaerobacteraceae	Natranaerobiaceae	Natranaerofabaceae	Zhaonellaceae	Moorellaceae	Thermoanaerobacterales.Family.IV..Incertae.Sedis	Thermoanaerobacteraceae	Halobacteroidaceae	Halothermotrichaceae	Halanaerobiaceae	Caldicellulosiruptoraceae	Christensenellaceae	Thermincolaceae	Desulfallaceae	Desulfotomaculaceae	Aristaeellaceae	Maliibacteriaceae	Proteinivoraceae	Syntrophomonadaceae	Vallitaleaceae	Symbiobacteriaceae	Cellulosilyticaceae	Heliobacteriaceae	Desulfitobacteriaceae	Peptococcaceae	Eubacteriaceae	Clostridiales.Family.XVI..Incertae.Sedis	Clostridiales.Family.XVII..Incertae.Sedis	Eubacteriales.Family.XIII..Incertae.Sedis	Oscillospiraceae	Lachnospiraceae	Peptostreptococcaceae	Clostridiaceae	Sporolactobacillaceae	Thermoactinomycetaceae	Alicyclobacillaceae	Bacillales.Family.X..Incertae.Sedis	Gemellaceae	Listeriaceae	Paenibacillaceae	Planococcaceae	Bacillaceae	Staphylococcaceae	Aerococcaceae	Carnobacteriaceae	Lactobacillaceae	Enterococcaceae	Streptococcaceae	Hydrogenophilaceae	Mariprofundaceae	Acidithiobacillaceae	Ferrovaceae	Casimicrobiaceae	Sulfuricellaceae	Thiobacillaceae	Usitatibacteraceae	Gallionellaceae	Methylophilaceae	Sterolibacteriaceae	Nitrosomonadaceae	Fluviibacteraceae	Azonexaceae	Rhodocyclaceae	Zoogloeaceae	Aquaspirillaceae	Chitinibacteraceae	Chromobacteriaceae	Neisseriaceae	Sutterellaceae	Sphaerotilaceae	Oxalobacteraceae	Alcaligenaceae	Burkholderiaceae	Comamonadaceae	Magnetococcaceae	Sneathiellaceae	Geminicoccaceae	Minwuiaceae	Emcibacteraceae	Parvularculaceae	Temperatibacteraceae	Kordiimonadaceae	Maricaulaceae	Hyphomonadaceae	Candidatus.Pelagibacteraceae	Candidatus.Paracaedibacteraceae	Caedimonadaceae	Holosporaceae	Candidatus.Midichloriaceae	Candidatus.Deianiraeaceae	Rickettsiaceae	Anaplasmataceae	Novispirillaceae	Terasakiellaceae	Kiloniellaceae	Magnetovibrionaceae	Magnetospirillaceae	Elioraeaceae	Stellaceae	Dongiaceae	Thalassobaculaceae	Thalassospiraceae	Rhodospirillaceae	Acetobacteraceae	Azospirillaceae	Zymomonadaceae	Sphingosinicellaceae	Erythrobacteraceae	Sphingomonadaceae	Roseobacteraceae	Paracoccaceae	Caulobacteraceae	Lichenihabitantaceae	Kaistiaceae	Amorphaceae	Blastochloridaceae	Beijerinckiaceae	Parvibaculaceae	Breoghaniaceae	Chelatococcaceae	Phreatobacteraceae	Cohaesibacteraceae	Pleomorphomonadaceae	Hyphomicrobiaceae	Aurantimonadaceae	Stappiaceae	Brucellaceae	Methylocystaceae	Bartonellaceae	Devosiaceae	Xanthobacteraceae	Boseaceae	Phyllobacteriaceae	Methylobacteriaceae	Rhizobiaceae	Nitrobacteraceae	Candidatus.Comchoanobacteraceae	Steroidobacteraceae	Thiohalomonadaceae	Immundisolibacteraceae	Salinisphaeraceae	Kangiellaceae	Nevskiaceae	Thiohalobacteraceae	Acidiferrobacteraceae	Ignatzschineriaceae	Cardiobacteriaceae	Orbaceae	Candidatus.Competibacteraceae	Celerinatantimonadaceae	Methylothermaceae	Methylococcaceae	Halieaceae	Spongiibacteraceae	Microbulbiferaceae	Cellvibrionaceae	Coxiellaceae	Legionellaceae	Fastidiosibacteraceae	Thiotrichaceae	Piscirickettsiaceae	Francisellaceae	Wenzhouxiangellaceae	Halothiobacillaceae	Woeseiaceae	Thioalkalibacteraceae	Sedimenticolaceae	Granulosicoccaceae	Ectothiorhodospiraceae	Chromatiaceae	Pasteurellaceae	Oleiphilaceae	Pleioneaceae	Litorivicinaceae	Zooshikellaceae	Saccharospirillaceae	Alcanivoracaceae	Endozoicomonadaceae	Hahellaceae	Oceanospirillaceae	Halomonadaceae	Moraxellaceae	Psychromonadaceae	Moritellaceae	Ferrimonadaceae	Idiomarinaceae	Alteromonadaceae	Colwelliaceae	Pseudoalteromonadaceae	Shewanellaceae	Vibrionaceae	Rhodanobacteraceae	Xanthomonadaceae	Pseudohongiellaceae	Ketobacteraceae	Marinobacteraceae	Pseudomonadaceae	Succinivibrionaceae	Aeromonadaceae	Budviciaceae	Bruguierivoracaceae	Pectobacteriaceae	Hafniaceae	Yersiniaceae	Erwiniaceae	Morganellaceae	Enterobacteriaceae	Brassicaceae	Geminigeraceae	Hemiselmidaceae	Cryptomonadaceae	Acytosteliaceae	Dictyosteliaceae	Vahlkampfiidae	Trypanosomatidae	Hexamitidae	Trichomonadidae	Phaeodactylaceae	Thalassiosiraceae	Parameciidae	Cryptosporidiidae	Sarcocystidae	Theileriidae	Babesiidae	Plasmodiidae	Unikaryonidae	Malasseziaceae	Ustilaginaceae	Trichosporonaceae	Cryptococcaceae	Ceratobasidiaceae	Marasmiaceae	Strophariaceae	Pucciniaceae	Schizosaccharomycetaceae	Phaffomycetaceae	Dipodascaceae	Saccharomycodaceae	Pichiaceae	Trichomonascaceae	Metschnikowiaceae	Debaryomycetaceae	Saccharomycetaceae	Didymellaceae	Mycosphaerellaceae	Trichocomaceae	Aspergillaceae	Sclerotiniaceae	Sordariaceae	Chaetomiaceae	Pyriculariaceae	Glomerellaceae	Hypocreaceae	Cordycipitaceae	Clavicipitaceae	Ophiocordycipitaceae	Nectriaceae	Candidatus.Nanohalobiaceae	Nanobdellaceae	Candidatus.Micrarchaeaceae	Candidatus.Prometheoarchaeaceae	Methanomethylophilaceae	Methanomassiliicoccaceae	Picrophilaceae	Thermoplasmataceae	Cuniculiplasmataceae	Ferroplasmaceae	Conexivisphaeraceae	Candidatus.Nitrosocaldaceae	Nitrososphaeraceae	Nitrosopumilaceae	Fervidicoccaceae	Thermoproteaceae	Thermofilaceae	Acidilobaceae	Caldisphaeraceae	Desulfurococcaceae	Pyrodictiaceae	Sulfolobaceae	Candidatus.Methanoliparaceae	Methanonatronarchaeaceae	Archaeoglobaceae	Thermococcaceae	Methanopyraceae	Methanothermaceae	Methanobacteriaceae	Methanocaldococcaceae	Methanococcaceae	Methanocellaceae	Methanotrichaceae	Methanocorpusculaceae	Methanospirillaceae	Methanoregulaceae	Methanomicrobiaceae	Methanosarcinaceae	Haloferacaceae	Halorubraceae	Natrialbaceae	Halococcaceae	Natronoarchaeaceae	Halobacteriaceae	Haladaptataceae	Haloarculaceae	Thaspiviridae	Ampullaviridae	Fuselloviridae	Tolecusatellitidae	Anelloviridae	Sphaerolipoviridae	Inoviridae	Portogloboviridae	Alphasatellitidae	Pleolipoviridae	Microviridae	Lipothrixviridae	Rudiviridae	Polydnaviriformidae	Bicaudaviridae	Nimaviridae	Nudiviridae	Hytrosaviridae	Baculoviridae	Birnaviridae	Chrysoviridae	Totiviridae	Spinareoviridae	Sedoreoviridae	Mitoviridae	Steitzviridae	Atkinsviridae	Fiersviridae	Astroviridae	Potyviridae	Fusariviridae	Amalgaviridae	Hypoviridae	Caliciviridae	Polycipiviridae	Solinviviridae	Marnaviridae	Dicistroviridae	Secoviridae	Picornaviridae	Iflaviridae	Olifoviridae	Mononiviridae	Arteriviridae	Roniviridae	Mesoniviridae	Tobaniviridae	Coronaviridae	Solemoviridae	Sinhaliviridae	Tombusviridae	Flaviviridae	Betaflexiviridae	Alphaflexiviridae	Tymoviridae	Bromoviridae	Kitaviridae	Virgaviridae	Togaviridae	Endornaviridae	Closteroviridae	Hepeviridae	Benyviridae	Matonaviridae	Orthomyxoviridae	Fimoviridae	Phenuiviridae	Phasmaviridae	Arenaviridae	Discoviridae	Tospoviridae	Hantaviridae	Peribunyaviridae	Nairoviridae	Chuviridae	Aliusviridae	Xinmoviridae	Filoviridae	Pneumoviridae	Sunviridae	Bornaviridae	Lispiviridae	Nyamiviridae	Paramyxoviridae	Rhabdoviridae	Hepadnaviridae	Caulimoviridae	Retroviridae	Adintoviridae	Lavidaviridae	Skuldviridae	Turriviridae	Tectiviridae	Adenoviridae	Asfarviridae	Poxviridae	Ascoviridae	Marseilleviridae	Iridoviridae	Phycodnaviridae	Schizomimiviridae	Allomimiviridae	Mimiviridae	Malacoherpesviridae	Alloherpesviridae	Orthoherpesviridae	Graaviviridae	Forsetiviridae	Pervagoviridae	Ahpuchviridae	Suolaviridae	Winoviridae	Halomagnusviridae	Soleiviridae	Hafunaviridae	Zobellviridae	Pachyviridae	Saparoviridae	Grimontviridae	Guelinviridae	Chaseviridae	Vilmaviridae	Assiduviridae	Verdandiviridae	Mesyanzhinovviridae	Demerecviridae	Salasmaviridae	Aliceevansviridae	Stanwilliamsviridae	Orlajensenviridae	Duneviridae	Zierdtviridae	Schitoviridae	Autographiviridae	Kyanoviridae	Ackermannviridae	Drexlerviridae	Crevaviridae	Intestiviridae	Steigviridae	Suoliviridae	Straboviridae	Herelleviridae	Casjensviridae	Peduoviridae	Rountreeviridae	Bacilladnaviridae	Nanoviridae	Circoviridae	Genomoviridae	Geminiviridae	Polyomaviridae	Papillomaviridae	Parvoviridae
D1	0	1	2	3	5	11	12	2	12	22	4	17	0	1	4	4	5	14	4	7	28	3	4	0	5	6	19	10	10	28	1	7	8	15	18	43	64	16	182	2	5	12	103	184	41	5	23	116	29	142	0	2	2	5	8	3	18	27	9	27	1	3	4	34	37	49	2	4	4	65	129	11	19	271	0	104	180	20	27	80	366	390	55	93	5	41	242	7	153	155	430	91	288	2467	9	51	79	7	22	35	136	227	681	1876	11	2	9	20	1	5	8	43	10	28	41	3	5	3	4	18	272	102	116	0	41	77	158	0	8	20	26	143	14	2585	2	9	52	2	15	21	3	39	8	37	10	51	302	25	537	0	5	8	10	14	25	38	40	55	58	84	94	220	340	63	97	217	3	5	8	19	20	34	45	54	55	91	168	397	3	3	8	32	398	1144	4286	2	1	3	6	3	32	0	2	4	5	10	12	12	9	18	42	6	125	309	2	5	6	8	4	5	19	20	20	2	18	8	16	2	29	32	7	40	8	35	74	3	5	59	97	103	15	19	28	35	37	56	208	13	207	319	2	54	305	1948	639	1715	2565	11035	12	12	18	46	2	18	109	7	58	72	4	39	18	23	52	68	2	10	10	14	25	33	38	43	50	53	116	144	149	542	310	334	396	15	58	528	1089	1936	2378	0	1	10	25	27	33	36	73	74	76	133	184	222	411	477	508	1559	3796	0	13809	0	2	7	56	169	242	1142	6018	13668	43	48	17	132	59	79	28	158	295	16	20	20	44	52	252	1	3	15	7	18	4	25	4	108	12	30	92	619	2	2	3	3	4	4	15	20	24	30	32	32	47	52	110	1	52	53	422	745	1011	7765	3	8	32	2	268	385	1295	2388	4664	4734	220	440	3465	29661	41543	0	2	33	3	44	11	12	15	49	62	68	74	7	31	77	260	43	131	299	310	16	351	964	1090	2983	3178	0	1	6	6	14	18	1	20	22	78	94	1	2	239	5	11	152	205	1	2	3	4	7	7	17	19	19	68	105	500	507	32	41	343	1319	770	973	3108	4	10	12	15	17	22	23	29	35	45	46	47	72	73	79	100	151	205	294	454	457	608	1507	2346	2	3	4	6	9	19	19	23	23	8	50	142	1	8	25	342	18	34	150	192	55	365	15	98	151	211	3	3	5	11	16	21	148	280	1308	2	5	15	16	19	50	65	73	383	906	2204	22	36	45	46	377	424	594	604	3220	343	5593	6	30	224	9087	7	33112	1298	1475	17752	18110	33032	53030	10218832	10677628	0	4	3	6	0	216	1	460	141	340	34	57	22	47	304	76	1765	2369	14	60	80	40	64	59	30	53	395	70	13	54	60	118	137	28	744	923	82	113	40	755	85	79	132	237	216	45	80	121	200	751	1	5	0	19	0	7	2	3	9	23	3	1	16	77	2	24	43	2	47	12	48	139	2	2	29	72	3	5	124	61	70	7	9	0	15	53	68	151	88	186	282	7	26	42	43	202	0	0	0	0	0	0	0	0	0	0	0	2	5	10	13	1	2	2	50	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	5	0	0	0	0	0	0	0	0	0	0	1	5	0	0	8	0	0	0	0	0	1	1	1	2	2	0	11	0	0	0	0	0	1	1	2	7	0	0	53	0	1	0	0	0	7	3	44	0	2	5	15	3	6	141	1	2	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	2	3	5	9	14	16	0	0	3	16	20	40	240	244	379	0	0	0	1	1	0	7	19826907
D2	6	15	1	5	6	5	2	2	25	37	1	5	0	1	3	13	2	33	0	5	54	1	6	0	18	1	3	1	16	11	3	3	2	5	1	36	20	20	6	4	3	2	12	93	12	0	4	26	8	108	0	9	0	3	2	0	8	27	4	9	2	0	1	6	22	77	2	1	1	7	33	17	2	283	0	50	41	4	8	57	50	102	6	47	3	82	125	0	54	107	157	2	142	507	0	9	5	6	22	18	29	50	198	290	0	0	2	1	0	3	7	35	15	25	23	5	3	2	1	11	3	61	32	2	52	30	75	0	1	0	2	9	0	3230	9	0	88	1	5	4	3	4	4	35	1	28	168	5	266	0	0	1	0	35	8	10	11	9	54	49	43	55	239	20	15	81	0	2	6	11	2	14	128	138	17	15	87	112	7	2	1	1	57	378	1487	102	0	2	5	0	7	2	9	5	3	13	10	1	6	11	1	1	33	106	1	1	1	1	2	2	2	0	18	2	5	4	24	0	29	3	6	6	4	8	13	9	3	13	33	15	2	7	22	44	4	38	153	6	140	44	1	4	49	236	107	394	246	511	64	2	3	24	3	3	55	6	19	35	1	14	10	42	23	129	2	4	4	8	2	8	7	58	26	34	80	72	54	189	220	95	55	7	208	574	838	1248	1235	1	0	2	31	5	13	6	15	37	18	100	151	71	300	179	111	721	2338	0	6329	0	0	2	34	77	148	668	601	31460	8	5	4	39	59	49	41	74	83	18	3	5	16	28	69	4	0	6	8	30	0	3	1	109	8	5	31	115	22	1	8	3	5	2	17	7	29	20	10	3	116	82	108	1	70	15	208	760	1946	111323	12	13	57	2	31	1475	1377	26856	4820	2252	229	1234	191521	94329	134313	0	0	12	147	3	9	27	5	95	17	105	14	0	32	59	234	16	103	551	252	6	302	977	8800	2652	1984	0	3	1	7	4	4	62	40	10	20	9	3	0	4	4	55	51	89	0	1	1	2	2	1	59	50	45	51	47	280	643	4	15	335	1334	557	773	1994	5	9	81	11	13	55	43	2	13	33	52	112	323	151	64	71	71	289	388	435	656	455	1967	1400	1	2	0	0	26	6	6	10	21	11	11	234	1	11	0	760	14	8	73	74	29	78	0	67	31	69	22	5	5	7	77	6	58	145	478	16	1	0	1	66	30	53	14	327	795	990	45	11	38	30	670	148	268	565	2554	150	6358	3	4	187	11626	2	1575	517	709	26157	2761159	120621	41690	5098	11467061	0	4	0	7	0	32	0	130	1	130	24	25	1	12	283	40	2830	652	7	18	18	9	36	10	8	9	108	12	7	13	48	83	22	23	545	484	58	23	26	284	24	31	30	73	79	17	14	36	115	967	0	1	0	3	0	2	0	5	3	2	0	0	12	110	3	68	19	0	4	3	2	51	3	7	11	30	0	0	44	36	8	3	3	0	4	10	19	64	23	141	235	1	4	12	31	63	0	0	0	0	0	0	0	0	0	0	0	0	1	27	0	1	2	0	224	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	2	19	0	1	20	0	0	0	0	0	2	0	7	0	1	11	13	2	0	37	0	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	9	1	0	1	0	0	0	1	7	1	1	5230	0	2	2	2	9	36	281	615	1561	0	0	0	0	2	0	0	14822420
D3	0	0	0	2	0	1	3	0	0	0	0	18	0	0	3	2	1	0	2	0	3	0	0	0	0	2	6	1	0	4	0	0	1	0	0	1	8	1	0	0	5	0	2	14	14	1	16	17	16	31	0	1	1	2	0	1	0	16	2	8	2	14	0	4	5	1	0	1	0	53	21	2	17	135	0	7	10	1	7	4	8	66	1	22	1	21	37	0	74	31	89	3	22	112	1	2	14	0	4	2	28	12	35	39	0	0	3	15	0	0	1	4	0	1	14	0	0	2	0	4	0	19	31	0	5	28	41	0	0	1	0	17	0	331	0	0	1	0	2	1	0	1	4	13	4	5	48	1	90	0	3	0	0	0	3	1	3	1	4	17	7	47	136	3	6	13	0	0	0	2	0	1	38	7	41	56	30	60	0	0	4	0	9	101	370	2	0	0	1	0	23	0	5	3	0	0	4	0	2	17	50	0	33	62	1	0	1	1	0	0	19	24	4	0	0	0	2	1	10	2	2	1	2	3	19	0	7	1	4	4	0	2	2	3	5	9	27	0	42	21	0	3	12	72	40	242	75	242	1	4	2	4	1	9	12	2	31	9	0	11	4	2	26	11	1	0	2	4	0	2	12	3	6	15	21	7	53	163	90	102	146	5	3	63	320	541	495	0	0	3	17	14	7	4	10	19	8	21	44	32	56	84	102	543	670	0	2935	1	2	2	4	37	64	347	3502	4026	29	76	4	66	4	6	5	5	4	2	10	2	1	4	7	0	0	0	2	2	0	16	0	8	0	1	2	41	1	0	0	0	0	0	12	1	3	4	0	4	10	20	7	0	8	7	97	182	27	732	2	1	18	0	4	66	450	3081	575	662	27	58	3720	1737	1936	0	0	14	1	66	5	3	24	52	4	36	12	1	26	45	82	21	125	196	202	2	94	573	506	1685	1485	0	0	1	1	3	4	1	0	2	43	4	0	0	1	0	0	4	16	0	0	0	0	0	0	6	4	9	64	19	153	110	7	34	188	515	422	414	1013	0	5	7	2	5	12	13	2	7	22	24	20	16	50	47	29	5	115	170	87	159	124	599	1165	0	0	0	1	0	4	4	1	10	1	30	16	0	1	2	186	14	34	125	167	3	29	1	46	74	2	0	2	0	4	5	34	50	93	5671	0	1	17	0	5	21	12	56	353	745	674	15	48	25	24	284	157	189	341	1478	201	1789	0	27	193	6033	6	1121	1103	1453	18878	19171	33778	54875	7522	1292940	0	1	1	0	0	9	0	72	1	27	1	24	2	3	108	3	320	171	1	31	8	5	4	18	2	1	28	3	2	2	4	23	5	2	40	108	5	8	24	61	14	11	12	19	30	9	61	6	64	176	0	0	0	0	0	0	0	0	0	0	0	0	2	12	0	3	8	3	6	0	38	14	0	0	5	8	0	0	17	3	0	1	2	0	0	14	9	31	32	64	252	0	42	9	17	63	0	0	0	0	0	0	0	0	0	0	1	0	0	10	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	2	4	1	3	0	8	1	0	13	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	2	1	0	0	0	3	0	0	657	3	5726	60	166	0	0	0	0	0	1	0	7311681
