Gene Family	D1	D2	D3	D5	P1	P2	P3	P4	P5
UniRef90_A0A376H659	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9756097561	0.0
UniRef90_A0A376H679	0.0	0.0	0.0	0.0	0.6082725061	0.0	0.0	1.2165454623	0.0
UniRef90_A0A376H691	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8312551953	0.0
UniRef90_A0A376H6N8	0.0	0.0	0.0	0.0	1.2970168612	0.0	0.0	0.0	0.0
UniRef90_A0A376H6R2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3717421125	0.0
UniRef90_A0A376H6U0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7412898443	0.6485084306
UniRef90_A0A376H732	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8319467554	0.0
UniRef90_A0A376H8K1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.853970965	0.0
UniRef90_A0A376H9L5	0.0	0.0	0.0	0.0	0.5154639175	0.0	0.0	0.3035231181	0.0
UniRef90_A0A376H9N6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.221001221	0.0
UniRef90_A0A376HAC0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2561270174	0.0
UniRef90_A0A376HSN9	0.0	0.0	0.0	0.2034454828	0.5720823799	0.0	0.0	0.0	0.0
UniRef90_A0A376HST5	0.0	0.0	0.0	0.0	0.0	0.4476275739	0.0	0.1325099079	0.2630936852
UniRef90_A0A376HTN3	0.0	0.0	0.0	0.0	1.1626021205	0.0	0.0	0.0	0.0
UniRef90_A0A376HU90	0.0	0.3747505094	0.0	0.0	0.9673128967	0.0	0.0	0.7304601899	0.3747505094
UniRef90_A0A376HUU2	0.0	0.0	0.0	0.0	1.2642225032	0.0	0.0	0.0	0.0
UniRef90_A0A376HV89	0.0	0.6788866259	0.0	0.0	0.0	0.0	0.0	0.0	0.0
UniRef90_A0A376HWG1	0.0	0.0	0.0	0.0	0.7535795026	0.0	0.0	0.7535795026	0.0
UniRef90_A0A376HWV1	0.0	0.0	0.0	0.0	0.252256322	0.0	0.0	0.0	0.0
UniRef90_A0A376HWX0	0.0	0.0	0.0	1.1402508552	1.1402508552	0.0	0.0	0.0	0.0
